Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
724,43.8645147,0.000304900000003272,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,www.google.com,,,74,Standard query 0xdc4c AAAA www.google.com,HTTP_Burst,Anomalous
725,43.8647389,0.00022419999999812035,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,www.google.com,,,74,Standard query 0x125c A www.google.com,HTTP_Burst,Anomalous
726,43.8665777,0.0018388000000015836,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,298,Standard query response 0xdc4c AAAA www.google.com AAAA 2001:4860:482b:7700:: AAAA 2001:4860:4828:7700:: AAAA 2001:4860:4829:7700:: AAAA 2001:4860:482c:7700:: AAAA 2001:4860:482a:7700:: AAAA 2001:4860:4827:7700:: AAAA 2001:4860:482d:7700:: AAAA 2001:4860:4826:7700::,HTTP_Burst,Anomalous
727,43.8666865,0.0001087999999995759,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,202,Standard query response 0x125c A www.google.com A 142.251.151.119 A 142.251.152.119 A 142.251.150.119 A 142.251.153.119 A 142.251.154.119 A 142.251.156.119 A 142.251.157.119 A 142.251.155.119,HTTP_Burst,Anomalous
728,43.8946075,0.027920999999999196,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,99,Standard query response 0xe1f8 HTTPS www.google.com HTTPS,HTTP_Burst,Anomalous
729,43.8948449,0.00023740000000316286,10.33.33.40,10.33.33.107,ICMP,,,,,False,,,,,,,,,127,Destination unreachable (Port unreachable),HTTP_Burst,Anomalous
730,44.0736086,0.17876369999999753,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,HTTPS,www.gstatic.com,,,75,Standard query 0x9e56 HTTPS www.gstatic.com,HTTP_Burst,Anomalous
731,44.0739124,0.0003037999999975227,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,www.gstatic.com,,,75,Standard query 0x001f AAAA www.gstatic.com,HTTP_Burst,Anomalous
732,44.0741715,0.0002591000000009558,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,www.gstatic.com,,,75,Standard query 0x5690 A www.gstatic.com,HTTP_Burst,Anomalous
733,44.0766811,0.0025096000000033314,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,103,Standard query response 0x001f AAAA www.gstatic.com AAAA 2404:6800:4000:1006::5e,HTTP_Burst,Anomalous
734,44.0767281,4.6999999995023245e-05,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,91,Standard query response 0x5690 A www.gstatic.com A 192.178.174.94,HTTP_Burst,Anomalous
735,44.1034594,0.026731300000001568,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,132,Standard query response 0x9e56 HTTPS www.gstatic.com SOA ns1.google.com,HTTP_Burst,Anomalous
736,44.1037592,0.0002998000000005163,10.33.33.40,10.33.33.107,ICMP,,,,,False,,,,,,,,,160,Destination unreachable (Port unreachable),HTTP_Burst,Anomalous
737,44.5046518,0.4008925999999988,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,HTTPS,content-autofill.googleapis.com,,,91,Standard query 0x2133 HTTPS content-autofill.googleapis.com,HTTP_Burst,Anomalous
738,44.5048248,0.00017300000000375348,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,content-autofill.googleapis.com,,,91,Standard query 0xda05 AAAA content-autofill.googleapis.com,HTTP_Burst,Anomalous
739,44.5061784,0.0013536000000016202,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,content-autofill.googleapis.com,,,91,Standard query 0x395b A content-autofill.googleapis.com,HTTP_Burst,Anomalous
740,44.5111685,0.004990099999993447,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,203,Standard query response 0xda05 AAAA content-autofill.googleapis.com AAAA 2001:4860:4802:32::223 AAAA 2001:4860:4802:38::223 AAAA 2001:4860:4802:36::223 AAAA 2001:4860:4802:34::223,HTTP_Burst,Anomalous
