Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
93,13.1090483,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,26897,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=26897 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 97],Large_Download,Anomalous
94,13.1090483,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,28237,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=28237 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 97],Large_Download,Anomalous
95,13.1090483,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,29577,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=29577 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 97],Large_Download,Anomalous
96,13.1090483,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,30917,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=30917 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 97],Large_Download,Anomalous
97,13.1090483,0.0,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,451,Application Data,Large_Download,Anomalous
98,13.109128,7.970000000057098e-05,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,137,Application Data,Large_Download,Anomalous
99,13.1094346,0.0003066000000000457,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,32737,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=32737 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 105],Large_Download,Anomalous
100,13.1094346,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,34077,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=34077 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 105],Large_Download,Anomalous
101,13.1094346,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,35417,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=35417 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 105],Large_Download,Anomalous
102,13.1094346,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,36757,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=36757 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 105],Large_Download,Anomalous
