Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
7704,307.0960626,0.00011359999996329861,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,297363,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=297363 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7705,307.0960884,2.5800000003073364e-05,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,601543,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=601543 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7718],Full_Port_Scan,Anomalous
7706,307.0960884,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,602883,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=602883 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7718],Full_Port_Scan,Anomalous
7707,307.0960884,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,604223,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=604223 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7718],Full_Port_Scan,Anomalous
7708,307.0960884,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,605563,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=605563 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7718],Full_Port_Scan,Anomalous
7709,307.1003965,0.0043081000000029235,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,298703,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=298703 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7710,307.1003972,6.999999868639861e-07,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,301383,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=301383 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7711,307.1004596,6.240000004709145e-05,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,606903,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=606903 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7718],Full_Port_Scan,Anomalous
7712,307.1004596,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,608243,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=608243 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7718],Full_Port_Scan,Anomalous
7713,307.1004596,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,609583,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=609583 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7718],Full_Port_Scan,Anomalous
