Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
571,90.7026065,0.002368500000002882,10.33.33.107,10.33.33.40,TCP,53,33294,ACK,,False,1,93,65536,0,,,,,66,53  >  33294 [ACK] Seq=1 Ack=93 Win=65536 Len=0 TSval=48799322 TSecr=2969209845,Aggressive_Scan,Anomalous
572,95.7148498,5.012243299999994,Intel_37:c9:54,66:51:0b:e8:eb:4b,ARP,,,,,False,,,,,,,,10.33.33.107,42,Who has 10.33.33.107? Tell 10.33.33.40,Aggressive_Scan,Anomalous
573,95.7179132,0.003063400000002048,66:51:0b:e8:eb:4b,Intel_37:c9:54,ARP,,,,,False,,,,,,,,,42,10.33.33.107 is at 66:51:0b:e8:eb:4b,Aggressive_Scan,Anomalous
574,95.8895595,0.17164630000000614,66:51:0b:e8:eb:4b,Intel_37:c9:54,ARP,,,,,False,,,,,,,,10.33.33.40,42,Who has 10.33.33.40? Tell 10.33.33.107,Aggressive_Scan,Anomalous
575,95.8917271,0.002167599999992831,Intel_37:c9:54,66:51:0b:e8:eb:4b,ARP,,,,,False,,,,,,,,,42,10.33.33.40 is at 30:89:4a:37:c9:54,Aggressive_Scan,Anomalous
576,97.5908715,1.6991444000000087,10.33.33.87,57.144.43.32,TCP,45479,5222,"PSH,ACK",,False,7202,14007,65280,28,,,,,82,"45479  >  5222 [PSH, ACK] Seq=7202 Ack=14007 Win=65280 Len=28 [TCP PDU reassembled in 576]",Aggressive_Scan,Anomalous
577,97.6322176,0.04134609999999839,57.144.43.32,10.33.33.87,TCP,5222,45479,ACK,,False,14007,7230,81664,0,,,,,58,5222  >  45479 [ACK] Seq=14007 Ack=7230 Win=81664 Len=0,Aggressive_Scan,Anomalous
578,97.9483525,0.31613489999999445,57.144.43.32,10.33.33.87,TCP,5222,45479,"PSH,ACK",,False,14007,7230,81664,28,,,,,86,"5222  >  45479 [PSH, ACK] Seq=14007 Ack=7230 Win=81664 Len=28 [TCP PDU reassembled in 579]",Aggressive_Scan,Anomalous
579,97.9501973,0.001844800000000646,57.144.43.32,10.33.33.87,TCP,5222,45479,"PSH,ACK",,False,14035,7230,81664,24,,,,,82,"5222  >  45479 [PSH, ACK] Seq=14035 Ack=7230 Win=81664 Len=24 [TCP PDU reassembled in 579]",Aggressive_Scan,Anomalous
580,97.9502787,8.139999999912106e-05,10.33.33.87,57.144.43.32,TCP,45479,5222,ACK,,False,7230,14059,65280,0,,,,,54,45479  >  5222 [ACK] Seq=7230 Ack=14059 Win=65280 Len=0,Aggressive_Scan,Anomalous
581,97.9507476,0.0004689000000013266,10.33.33.87,57.144.43.32,TCP,45479,5222,"FIN,ACK",,False,7230,14059,65280,0,,,,,54,"45479  >  5222 [FIN, ACK] Seq=7230 Ack=14059 Win=65280 Len=0",Aggressive_Scan,Anomalous
582,97.9524989,0.0017512999999951262,57.144.43.32,10.33.33.87,TCP,5222,45479,"FIN,ACK",,False,14059,7230,81664,0,,,,,58,"5222  >  45479 [FIN, ACK] Seq=14059 Ack=7230 Win=81664 Len=0",Aggressive_Scan,Anomalous
